UF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
11,0.435836669335468,0.456875711035267,0.469774941676959,0.496036712557363,0.515867516629712,0.539576047391335,0.554443104141536,0.559839672373982,0.593542118245011,0.61248224772579,0.640708582060625,0.638170541511008,0.656030921975066,0.65987426035503,0.663698804375477,0.66983637146548,0.663868709301013
12,0.233878984690834,0.233571236197145,0.234142026787971,0.243412405332666,0.254765926640927,0.288289835164835,0.288886177869952,0.292623866881907,0.29803834150691,0.30713055868907,0.327348235006718,0.293801909712413,0.334277449680607,0.377500146636166,0.379429105131049,0.391371067697574,0.42659121256438
13,0.252936639772188,0.23585323038719,0.233552538337254,0.246765929742124,0.279612004828883,0.29772453779674,0.321139934815443,0.336031726562819,0.348130061775341,0.35534383424071,0.37694767088915,0.372741250837791,0.380922201383949,0.381331440450236,0.37988895895933,0.372800219978002,0.357479410574677
14,0.223214285714286,0.250677224421755,0.225831571921237,0.233828886482229,0.216016427104723,0.22309359199257,0.251095347381598,0.284714971810399,0.339736607584909,0.362150982419855,0.358426620108863,0.318812877263581,0.322577592732778,0.34055756228582,0.346833844488544,0.362241318835496,0.37429676511955
15,0.266857337527036,0.270922754748927,0.284611876177024,0.291559572174778,0.297633218962258,0.31249054475939,0.328480679371555,0.346687108385549,0.3713376596744,0.397909090909091,0.422802225162548,0.452833519269061,0.475981739143077,0.493452385228179,0.505379872782243,0.489796345375924,0.481981785381751
16,0.14376187460418,0.173999451754386,0.17247460496614,0.21226095212261,0.227699362327148,0.243117651200451,0.243031951053705,0.255392938891586,0.274660483603842,0.290918023582257,0.298572191086202,0.310713101160862,0.316033613445378,0.339752582578753,0.356993351391283,0.347842663785982,0.345449858210879
17,0.295389934690741,0.283959510179323,0.29129838463883,0.300795205716261,0.31244153414406,0.337280801639718,0.35869607050764,0.38139087960924,0.392273808131603,0.420254894865919,0.440045804024211,0.428742994395516,0.471236028928337,0.502099879412865,0.521271472146412,0.532565369897959,0.518048044271161
21,0.239893234165067,0.234246230921806,0.224667653917513,0.231800540985534,0.243962941535438,0.259246153846154,0.281196044576989,0.292570987727212,0.307521709252202,0.327573350624088,0.344195946002564,0.365873299185602,0.387662450181944,0.409813129060748,0.426430622829954,0.434283131348452,0.448996791909086
22,0.293289246003872,0.288391498384146,0.292005046825298,0.317778907981255,0.34624312320655,0.369238080152067,0.390772128060264,0.403964906996009,0.411705405713851,0.43889709502708,0.464013616469444,0.482679862961553,0.499769324329992,0.522049749951289,0.532993864518553,0.531868667384109,0.536200106439595
23,0.272758475763519,0.28881371039624,0.298938613195922,0.323316180838349,0.345069908637146,0.352389878163074,0.375411089582266,0.399872692552514,0.426780933578618,0.447084282633709,0.49051465210016,0.522358342507789,0.557756453831197,0.570421574058463,0.579477237158674,0.566684808078976,0.57625517865363
24,0.276012560540742,0.284125795582179,0.286845470959976,0.299248292878866,0.343885430620124,0.362639885222382,0.391613775881802,0.40445972699802,0.442925220678423,0.471651753721411,0.511537006682638,0.52905217917423,0.561393026332636,0.582054359941696,0.598625572678051,0.596166799338681,0.601933604096769
25,0.333292398378976,0.32313809214394,0.329848266348987,0.352420565424068,0.378966367460074,0.392067326424063,0.42536171628139,0.453283466424071,0.466987842731506,0.489943966379828,0.519243235866116,0.532056320699908,0.559684366614885,0.563074264148281,0.580552509269414,0.564736190912018,0.575913894045409
26,0.294991417361452,0.305687478989028,0.311502232944921,0.331875020620938,0.342109838959927,0.356414607835399,0.38924215430999,0.405802978396141,0.449971396472461,0.471010760275181,0.500732772518099,0.509987980081278,0.523091964039022,0.537738987633872,0.543607674001494,0.515754526190821,0.502940500804043
27,0.222885966382713,0.229799325164269,0.264918471080161,0.287885284169406,0.31216296171076,0.34070979142239,0.363656995216647,0.390605642895779,0.42142931052323,0.476960271352795,0.527581041847736,0.553831644352393,0.570994728397891,0.563992815378148,0.548069117476516,0.527784169351127,0.540835638375309
28,0.191001994017946,0.211655095878391,0.231119297865424,0.247998256985675,0.260779482584836,0.261326752327047,0.284424501270476,0.292117854444724,0.316913151636095,0.330378014710075,0.356733229420933,0.38131001863265,0.410121754437436,0.433235895936861,0.449260596180717,0.418598653102164,0.416353646043523
29,0.21425251022685,0.227203438000586,0.229979448645015,0.24102583564197,0.259216525621834,0.274754939251016,0.3036611498655,0.322049334480859,0.343861856127283,0.358273049808782,0.385893646702764,0.402646591447094,0.422763176172479,0.431084565906868,0.445115479115479,0.429268813447466,0.4254666633259
31,0.406933660900855,0.406458235175338,0.416503099264563,0.434129798491501,0.448513279445727,0.463482831493958,0.479682145143675,0.48994175177294,0.506018447348194,0.520575282682008,0.541566548881036,0.557167887493536,0.576593368506181,0.582259234406333,0.582361811307166,0.566821688052147,0.570008929912044
32,0.436195054945055,0.442872439396865,0.446165875656902,0.452933458294283,0.461455981941309,0.480921140714955,0.508574543047904,0.537909112314575,0.57512933364219,0.582119450008752,0.608238471927455,0.645045385779123,0.668899939265108,0.669379356369569,0.66797656346804,0.631201308407928,0.623377596314124
