CIR,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
21002,8.21,8.91,10.22,13.24,12.32,11.28,9.58,14.89,10.48,11.35,10.80,10.18,8.01,9.36,9.58,10.37
21003,2.13,3.26,5.47,7.33,5.45,5.45,11.24,11.94,11.58,13.34,12.45,8.47,9.07,11.69,15.56,11.46
21004,7.93,10.05,13.27,9.42,10.84,13.78,6.34,12.56,10.57,11.85,10.70,14.87,10.75,8.22,11.22,12.52
21005,18.00,17.22,14.14,16.31,14.96,17.05,20.36,20.40,17.28,16.16,16.94,21.02,16.41,22.48,16.71,11.98
21006,5.57,8.77,10.03,8.61,9.44,11.41,8.79,8.85,12.94,13.35,12.10,12.91,8.34,12.67,8.28,8.52
21007,23.76,12.76,12.11,13.49,10.60,11.92,10.59,10.40,11.24,10.15,11.17,9.69,9.37,12.56,12.64,12.39
21008,15.09,15.62,15.24,10.98,11.09,11.35,12.93,12.29,13.27,10.22,9.32,8.66,9.32,10.02,8.83,8.82
21009,6.90,15.77,12.17,12.58,12.57,12.01,9.41,9.44,7.90,13.78,10.70,10.09,12.01,11.36,7.55,10.96
21010,3.36,8.48,8.67,9.51,9.12,7.29,9.32,12.30,11.79,14.43,10.33,10.31,10.02,11.19,8.08,7.44
21011,4.96,6.74,8.23,10.91,12.69,12.75,11.20,9.65,11.96,15.73,12.54,12.47,12.83,10.96,10.93,10.04
21012,8.10,9.55,10.08,9.78,7.28,9.49,12.03,10.96,9.82,9.15,6.17,12.86,8.66,10.18,9.65,8.01
21013,8.57,10.66,13.75,11.91,9.29,9.57,8.81,9.35,8.33,8.99,9.22,9.98,8.44,9.41,7.83,8.42
21014,5.10,8.20,9.60,8.46,8.45,11.16,10.47,8.16,11.52,7.85,7.77,9.27,9.86,11.23,10.23,9.32
21015,11.22,3.83,13.31,9.97,9.73,7.98,8.87,9.44,9.41,7.53,7.99,4.45,7.01,11.71,10.67,12.24
21016,13.19,13.28,15.41,12.48,11.06,11.47,10.66,10.60,11.35,10.59,10.73,11.21,11.32,11.68,12.40,12.26
21017,12.52,14.59,14.28,9.40,10.80,12.85,15.30,11.89,12.20,10.81,14.15,12.87,10.66,10.29,10.49,15.85
21018,4.27,11.57,10.84,9.21,7.24,13.45,10.28,13.25,8.61,9.79,10.63,10.82,6.58,14.30,11.82,13.30
21019,6.51,7.42,9.02,7.95,10.58,7.08,7.44,5.92,7.16,11.88,10.05,12.72,11.34,12.10,8.34,10.55
22001,7.52,10.77,15.35,14.80,14.66,14.78,15.82,13.51,14.86,11.92,7.61,10.87,9.32,10.30,8.83,13.56
22002,11.07,13.41,14.54,11.51,11.33,13.67,11.20,17.72,10.97,8.36,11.79,10.03,14.69,11.84,11.19,8.92
22003,19.04,17.96,15.28,16.64,14.28,14.96,16.42,14.37,11.49,14.11,11.14,10.52,13.08,12.49,12.23,12.88
22004,16.61,14.78,14.27,15.73,14.35,14.36,14.19,13.63,13.32,12.08,11.81,12.03,10.86,11.87,10.85,10.13
22005,10.61,9.98,12.50,8.49,6.48,6.69,11.68,13.18,18.07,15.33,16.48,16.74,11.83,11.35,9.17,12.61
22006,11.07,16.51,11.06,11.99,17.26,15.56,21.79,17.62,19.43,14.10,13.61,11.26,11.96,15.90,14.21,4.96
22007,15.49,12.47,7.13,13.75,6.53,6.76,5.43,9.89,9.48,11.16,4.98,10.71,7.71,6.14,16.21,5.11
22008,7.77,5.86,19.98,17.49,9.28,12.90,14.71,16.05,12.10,15.93,12.25,12.95,13.14,12.57,11.62,12.33
22009,16.61,16.80,19.11,15.90,18.57,16.25,14.61,14.06,14.12,15.64,15.78,14.31,17.58,12.56,13.85,12.76
22010,12.87,7.35,9.61,11.06,11.05,14.78,11.65,20.12,12.27,14.94,8.56,17.67,18.75,9.17,9.86,10.12
22011,15.74,10.50,11.52,11.28,11.80,13.01,10.32,12.80,10.63,10.76,12.05,11.50,9.00,9.77,10.53,10.65
23001,15.96,11.12,17.43,13.83,14.06,13.27,11.38,10.51,10.23,11.30,8.35,8.62,7.90,7.85,7.47,8.41
23002,11.06,6.95,9.24,13.17,12.21,6.78,8.69,8.72,8.59,8.62,7.70,8.09,7.02,8.84,7.30,6.82
23003,12.60,7.51,9.48,14.22,11.47,7.02,10.46,6.10,9.30,6.89,6.70,7.76,7.14,7.70,6.52,7.24
23004,7.03,10.37,7.47,11.16,11.43,9.67,12.38,11.27,11.56,11.24,8.71,11.70,7.43,9.63,8.93,5.39
23005,13.54,9.56,12.36,23.60,13.73,10.69,11.75,12.64,8.65,10.27,7.22,11.88,7.91,9.76,9.59,8.67
23006,19.69,13.67,14.40,17.54,13.04,11.51,10.99,8.52,9.33,8.62,9.70,6.10,11.33,9.99,8.89,9.88
23007,13.86,6.28,13.33,10.55,20.73,11.75,9.62,14.63,8.25,12.53,7.63,6.17,9.79,13.30,7.61,10.65
23008,18.16,12.20,13.59,16.46,12.70,11.18,10.10,12.20,14.16,10.92,10.86,12.46,8.30,12.87,11.13,9.85
23009,14.43,14.52,13.80,12.35,14.00,11.80,11.93,13.92,10.31,10.22,8.09,6.45,6.98,5.99,6.32,5.05
23010,14.42,15.19,13.40,17.05,11.01,11.22,15.75,13.92,9.88,11.42,6.53,11.46,6.09,11.80,8.22,11.06
23011,19.34,20.35,18.40,16.80,18.67,14.84,13.36,10.96,9.52,13.03,12.59,9.76,10.95,12.78,9.94,7.78
23012,19.46,16.09,15.17,10.70,20.50,14.09,12.65,10.41,10.09,8.96,9.21,11.40,7.79,9.78,7.43,9.82
23013,17.80,17.58,18.83,17.16,17.05,15.20,10.10,13.33,16.05,15.97,9.73,8.57,12.26,12.18,8.61,7.53
23014,23.54,15.69,16.92,16.37,14.21,10.03,13.41,8.73,6.10,11.25,11.15,8.06,9.76,8.06,7.19,9.23
23015,16.97,19.32,14.20,24.88,21.73,13.28,16.16,11.96,12.32,12.00,10.82,11.95,13.70,14.31,12.74,13.03
23016,12.87,13.38,13.44,16.07,9.30,13.75,11.52,8.88,16.35,13.71,11.44,10.10,10.42,15.49,12.62,11.13
23017,20.47,14.79,18.44,17.65,18.41,12.97,8.62,11.82,8.45,12.69,9.05,11.22,10.92,12.94,9.14,13.86
23018,17.47,14.77,17.23,17.61,16.37,15.32,15.78,11.04,10.54,10.34,8.70,9.35,9.26,11.91,7.08,6.35
23019,14.44,12.78,11.49,17.67,17.20,10.87,11.99,10.86,10.96,7.08,14.80,10.36,10.17,11.54,10.57,13.51
23020,8.72,10.36,10.89,12.39,11.69,8.83,13.51,14.73,12.43,12.73,13.00,12.88,11.76,10.63,11.82,7.22
23021,15.88,19.17,18.74,13.06,11.32,9.50,13.61,12.44,12.16,9.48,12.12,12.90,12.51,14.83,10.02,10.31
23022,10.06,8.38,13.98,17.77,11.76,11.19,9.65,8.62,10.28,8.41,6.86,5.08,6.62,6.08,9.65,7.51
24001,10.20,11.11,9.33,8.72,11.42,7.99,7.09,7.68,9.08,5.86,8.76,7.78,9.22,9.90,9.72,9.11
24002,20.44,16.61,20.28,17.91,16.31,18.73,12.14,14.23,13.64,11.20,12.11,11.96,11.08,9.00,10.78,7.97
24003,7.42,8.38,8.86,6.51,8.91,5.49,5.58,7.79,6.44,5.83,8.14,9.58,10.14,13.53,8.54,10.99
24004,18.92,18.64,21.31,16.94,14.14,15.33,13.47,12.19,16.87,13.73,15.68,14.33,12.66,11.56,8.33,10.51
24005,12.38,13.11,8.35,8.84,10.08,13.85,7.92,10.74,5.62,7.63,5.81,5.63,8.81,11.41,10.11,7.29
24006,10.96,11.20,13.35,9.60,15.18,9.31,10.86,9.03,7.13,9.40,11.45,9.25,8.69,10.22,10.06,10.36
24007,12.31,12.86,14.09,10.74,12.08,10.96,10.05,11.08,10.14,8.59,7.52,6.77,9.36,8.87,7.92,10.48
24008,18.03,14.32,12.48,14.02,9.69,10.47,7.02,11.22,7.73,19.17,9.41,11.03,15.19,8.04,10.11,9.79
25001,13.13,11.44,12.19,12.61,12.58,11.62,11.84,11.93,9.95,10.62,9.25,7.70,9.44,9.07,8.87,7.09
25002,19.19,11.88,12.09,11.90,13.16,9.19,10.15,12.78,8.71,7.18,8.45,8.70,8.86,9.42,10.92,8.24
25003,15.87,14.96,15.43,11.06,13.33,11.83,15.25,13.45,13.73,11.06,9.07,12.95,13.39,11.61,10.20,7.09
25004,23.18,16.13,12.42,16.49,14.04,9.02,9.28,13.38,11.45,7.30,8.03,10.56,9.50,9.52,17.11,6.10
25005,20.65,22.37,28.04,25.81,20.59,15.48,17.73,19.74,19.10,11.99,10.22,17.61,12.95,5.56,10.61,14.29
25006,17.20,14.29,16.77,16.94,14.46,14.06,16.19,13.98,9.09,11.60,11.89,13.88,11.11,15.30,10.14,9.61
25007,20.65,15.36,12.93,14.76,12.32,13.28,14.30,11.59,10.78,13.39,12.74,10.16,16.02,14.51,11.32,11.43
25008,12.86,11.31,12.05,12.56,8.10,14.48,11.59,10.94,9.96,7.10,9.96,9.84,9.75,11.02,8.46,8.87
25009,9.95,15.04,23.47,14.86,16.58,10.90,12.47,13.71,18.95,14.88,12.94,13.62,10.96,12.65,9.59,10.70
25010,6.15,4.23,6.73,5.88,7.64,7.08,9.60,9.50,8.44,8.36,18.03,11.04,17.79,11.69,12.52,15.30
25011,25.54,18.46,15.56,19.84,20.25,10.53,17.28,11.58,9.33,19.29,10.95,13.10,10.07,14.49,13.27,2.86
25012,21.27,13.50,15.38,14.46,12.75,14.51,12.08,14.75,8.50,9.63,12.43,6.29,7.52,10.66,5.54,7.41
25013,12.64,9.86,10.08,11.48,10.74,14.14,8.90,10.55,14.15,4.84,6.57,12.93,2.53,7.58,2.55,6.21
25014,13.72,10.00,15.71,9.55,15.03,14.47,9.91,10.05,9.04,6.88,8.59,6.90,9.50,12.31,8.08,5.54
25015,25.45,13.86,13.30,17.51,7.07,7.59,8.99,18.53,12.71,8.64,7.31,10.62,11.78,6.65,14.72,7.12
25016,27.32,16.40,16.22,14.54,16.07,16.21,15.77,14.86,14.28,12.82,12.84,12.59,12.21,7.91,9.19,9.66
26001,20.98,17.02,16.76,14.48,16.95,13.72,14.99,18.70,13.99,10.19,13.30,8.26,8.53,9.04,7.04,8.18
26002,10.58,18.89,16.96,16.64,17.25,16.97,17.27,17.72,14.15,14.47,14.06,12.17,12.17,14.04,11.53,13.28
26003,20.11,15.93,15.78,17.42,14.46,13.27,11.26,10.34,10.45,10.77,10.53,9.97,9.23,9.12,10.04,9.28
26004,16.74,14.01,16.19,15.75,16.89,15.66,11.76,12.30,13.97,11.47,11.54,9.12,10.54,12.69,10.27,10.33
26005,16.81,15.66,12.33,13.93,12.60,14.73,12.00,9.99,11.60,10.89,9.49,6.71,11.09,11.54,6.79,9.01
26006,14.69,15.86,12.31,12.45,12.55,11.71,10.92,10.04,9.62,9.86,8.95,8.60,10.89,7.31,8.06,7.58
26007,11.13,13.89,15.97,21.09,18.09,19.52,17.36,20.04,15.45,16.02,15.68,12.31,13.27,9.85,10.39,11.54
26008,20.00,17.78,14.75,15.65,11.74,14.07,11.24,10.95,9.49,10.88,8.71,9.51,8.99,7.51,5.87,8.55
26009,20.78,13.94,19.08,21.24,20.55,19.13,18.22,14.57,13.65,14.21,12.21,11.62,10.89,12.14,11.75,12.08
26010,15.80,14.63,13.45,11.98,10.52,11.08,10.32,10.25,9.23,10.48,9.50,8.18,8.83,8.83,8.79,8.48
26011,18.98,21.16,19.05,17.47,15.76,14.15,11.72,16.44,19.56,16.17,11.85,15.17,13.48,12.45,14.49,12.86
26012,16.83,17.10,19.64,17.87,20.21,19.09,16.94,18.41,13.90,19.11,14.21,12.62,16.49,14.17,10.02,12.02
27001,22.43,19.73,16.69,13.33,13.51,14.18,12.42,13.55,13.60,11.99,10.77,10.89,10.58,10.13,10.15,11.18
27002,20.68,11.75,17.13,12.68,8.77,14.85,8.92,13.02,11.01,13.22,10.76,10.38,8.76,9.55,10.99,6.81
27003,14.04,12.14,16.66,11.64,14.61,14.36,10.27,12.06,9.39,11.92,12.77,8.03,11.25,11.50,10.76,8.96
27004,19.81,13.90,17.27,15.96,9.56,12.08,14.60,17.55,11.19,7.19,12.22,7.53,7.95,11.32,13.58,9.58
27005,11.71,12.66,12.72,13.24,9.18,11.77,9.56,12.62,8.02,13.73,12.25,10.79,10.51,11.48,10.90,13.31
27006,21.54,21.74,19.50,13.07,16.80,13.68,13.57,17.20,13.78,12.32,11.31,10.18,5.48,14.09,9.18,11.53
27007,12.54,16.15,17.40,14.52,13.68,15.93,15.30,16.05,11.99,10.90,11.92,11.55,9.41,9.41,9.82,10.16
27008,18.58,18.99,17.98,21.38,21.76,15.32,17.57,9.56,11.57,12.43,10.78,9.65,9.61,12.98,12.21,7.41
27009,11.59,15.82,13.71,13.10,11.36,16.36,10.99,11.21,11.01,12.30,11.95,11.31,11.18,8.01,11.99,9.85
27010,7.00,13.21,20.99,14.89,14.55,16.23,17.11,13.38,16.02,12.43,12.14,12.39,8.38,9.87,9.64,11.21
28001,22.09,23.33,22.00,15.91,17.89,17.82,15.99,13.47,13.05,13.17,12.15,11.61,12.09,12.03,13.53,11.93
28002,14.91,15.43,14.18,14.23,13.15,14.53,11.11,9.04,11.84,9.42,8.45,10.28,11.15,7.73,8.27,10.14
28003,15.50,18.00,15.77,14.74,14.25,15.49,15.74,10.33,10.18,11.90,12.20,11.73,11.08,10.80,9.37,10.76
28004,12.60,14.50,18.03,17.66,12.21,14.96,13.68,15.01,13.07,10.17,8.33,7.96,8.48,7.19,8.08,10.87
28005,17.58,19.02,19.56,18.45,18.58,11.82,13.11,11.64,13.19,11.04,10.80,9.52,9.09,8.44,11.14,6.88
28006,25.28,23.71,25.78,20.00,18.15,17.86,17.92,14.81,14.67,8.99,9.61,12.75,12.87,11.03,9.82,10.41
