UF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
11,0.990736895901875,0.991854370307409,0.990901628129703,0.987295636780173,0.988764821792789,0.982621701506357,0.978254764292879,0.982823099669507,0.991862939046695,0.991757083157612,0.987381459260693,0.976679441752838,0.974239052540263,0.971583570136916,0.965820029027576,0.968371659861022,0.989023381700624
12,0.90648804833202,0.921337002483388,0.906255918186983,0.887651695233329,0.880004823926676,0.874785493650612,0.878222276264591,0.838781437310758,0.860898077136823,0.857032914989344,0.86486814186117,0.888757927821743,0.910479041916168,0.927086383601757,0.934243538129413,0.942167255594817,0.949534013821087
13,0.945451320107619,0.898323179411262,0.911632777235358,0.908397054458594,0.909888569626463,0.914258110167646,0.907559801016088,0.912330370632512,0.915607090497134,0.922077407598146,0.928829460290074,0.927718432587071,0.927228349303923,0.929732670386255,0.925084724875223,0.938636902755409,0.930680677418093
14,0.857450738916256,0.88125,0.956840934371524,0.87253937007874,0.858345308971464,0.872911079017949,0.862385321100918,0.893028595282822,0.873106997921409,0.893724800992453,0.90983774902444,0.913021618903972,0.877653051598906,0.892269280562234,0.902428057553957,0.884157027690151,0.885548523206751
15,0.852437866075669,0.865045791215805,0.881161764705882,0.868947324807336,0.87416546530995,0.881647657001512,0.899754996604572,0.904320432642677,0.911636762703125,0.922642168506357,0.928536396397677,0.936615154887515,0.94392652190631,0.947961496528376,0.943032549842163,0.944388369519063,0.943637829475382
16,0.966076696165192,0.941063727839003,0.917300648069879,0.935586561907342,0.945386872807959,0.928616684266103,0.913143944542612,0.926793760831889,0.935584243627938,0.9367044341866,0.93849946695096,0.941048034934498,0.933467606579389,0.944366645448759,0.947083768668183,0.950793650793651,0.948134785129824
17,0.975767983209311,0.961035120147874,0.967496384258202,0.967143898975166,0.96950103221283,0.975424757281554,0.975334255417243,0.978849306305226,0.980243456617275,0.98330054995785,0.984471415144457,0.984062312762133,0.985857757737241,0.986317840706497,0.986048749198204,0.985902031063321,0.986258902387935
21,0.943795815932785,0.921715333511477,0.914863844907859,0.909326141338336,0.91813813054269,0.920101945250488,0.929723466224046,0.935950104864619,0.944700784087543,0.946584704978364,0.949676329391298,0.953785432957088,0.956859331776386,0.963634782608696,0.966311042017237,0.971581436494165,0.972848958757568
22,0.925684551735904,0.906089984297126,0.905062841724064,0.913165774430632,0.92257109978629,0.936658108535856,0.939828701528676,0.941594317284925,0.952244417438858,0.954349360734175,0.959230333441243,0.949026802807913,0.931320628831158,0.961502832891704,0.960826849669385,0.967697399143199,0.967181713701954
23,0.962780609932144,0.965961614575996,0.973359768782899,0.977784599130516,0.978315797138384,0.980433463062806,0.982913642423345,0.984996899259558,0.985640359327046,0.986612681040847,0.988729420713959,0.991375824312554,0.993639057918466,0.994338383676607,0.994280429900296,0.994159195870687,0.994550322386452
24,0.908032740415279,0.908268878675784,0.926572769953052,0.950279094662792,0.953469146737526,0.957653353716797,0.95829350401064,0.970003328340822,0.975209265913242,0.989291042488402,0.984979441134514,0.977526454751461,0.982678271231886,0.973887772981751,0.974392550560163,0.975457748630318,0.975796852268218
25,0.930990648997858,0.924488507782071,0.922679123832141,0.922982141464556,0.926816720257235,0.96584440227704,0.983895603665826,0.984610468245425,0.989961913369053,0.991586278135986,0.992998177141007,0.993973544883472,0.993412013387352,0.994600204031379,0.992561049795776,0.991148944812063,0.994971738316424
26,0.961292494109727,0.957423341295764,0.977469193158735,0.980181570046876,0.984154353041816,0.983056642230185,0.985353300298409,0.987211293196827,0.987485794965391,0.98724394457568,0.989728459415335,0.991683264443635,0.994857902703314,0.994485800937414,0.993658050442891,0.993228706972639,0.993574690399517
27,0.951462068336298,0.935314504830027,0.954729509595544,0.961638532808732,0.965928650983833,0.967277702680426,0.95623369848722,0.958697697104832,0.97188167229148,0.982909989003263,0.985673140831549,0.987435750999429,0.984536278804037,0.991750495351318,0.992498891224281,0.993857282277972,0.994539490075575
28,0.884124177227626,0.884543948596958,0.893056491843063,0.900471749267975,0.907918608870405,0.919748461332619,0.955505787755322,0.985754587860674,0.985968935113149,0.986385257341422,0.985330432737535,0.988203292770222,0.98997302685587,0.990095827977095,0.99092205184905,0.990634934272704,0.989912471289341
29,0.900730597419947,0.905224307986001,0.908490784623486,0.916407619541706,0.920607027391301,0.935005301538528,0.933465645110747,0.947504060835398,0.945877311682454,0.951430001791234,0.95451482321007,0.957076156106998,0.9630522050105,0.965830964581837,0.964844094611683,0.962865645641286,0.962558174448281
31,0.98918786010008,0.988735102399025,0.991242558634795,0.990242327240053,0.990935968396527,0.990680006343074,0.991542140879151,0.99184216103736,0.992913428076469,0.991629596795897,0.994547792071369,0.993207959578701,0.992289210267748,0.994076594428442,0.994474600381836,0.994401893367623,0.99453692016409
32,0.992531688934567,0.991277236740699,0.977758007117438,0.97440889604433,0.973217136524989,0.968778030115078,0.966879822737079,0.963328106624853,0.962971534367045,0.964552927687195,0.968391414190114,0.978455506757394,0.992618529383931,0.997059095533154,0.997152861285987,0.996926643367696,0.991893359294554
33,0.980734645991402,0.98156048852946,0.990953012504737,0.989235969085703,0.986981352843181,0.982886137681874,0.98543273742761,0.980366661133551,0.986286392023869,0.986137334102712,0.986579145413496,0.98998653690113,0.992322499876604,0.992340345755721,0.991968627988219,0.992121033085753,0.992369791310141
35,0.988964478415305,0.994050432976064,0.994511488812807,0.991725561169755,0.991392699974113,0.995593653050672,0.99451081263839,0.994366887915514,0.994913550295366,0.995241222243944,0.995914206654339,0.992122539010393,0.987779918521978,0.994900932400932,0.994652278215785,0.991230643538278,0.98827807401274
41,0.988504530206952,0.989005799007592,0.989129447388342,0.99031989474554,0.991399183141647,0.992009929891969,0.990305863357596,0.989800344280738,0.989489847245387,0.987903523057024,0.993666598707013,0.993387921675322,0.992224495761473,0.992732315515094,0.993115092392834,0.991953873014098,0.991635819586499
42,0.988547686337369,0.986707833410899,0.985291029977837,0.978852326965387,0.978391342497806,0.975562754185189,0.994449264854457,0.993345787089606,0.993279538364101,0.993987231850902,0.994256065996147,0.993758644734285,0.9957081061596,0.996751043115438,0.996267376008238,0.995515464447713,0.994219046719755
43,0.992072159756449,0.992870041721153,0.993984323171949,0.994690443468642,0.995634414926641,0.996120897560446,0.996469281332475,0.99533736628661,0.996159623509912,0.995645407476132,0.995812162740256,0.996601553990269,0.997085093672854,0.996873010258224,0.997146146600146,0.99683874925013,0.996138914228737
50,0.990911336132379,0.986698278013476,0.987103398191972,0.994088870770485,0.982558279404335,0.982956740054075,0.989244590661774,0.984878692939075,0.983264207232773,0.983786065451656,0.980414631715339,0.981448092617195,0.982935719019218,0.983615471912238,0.985791456716147,0.990349327171401,0.99036104826546
