Região de Saúde,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
21017,9.22,3.50,3.46,3.43,3.40,3.37,3.33,3.30,3.28,3.26,3.23,3.22
21018,48.41,56.98,58.77,60.41,64.60,66.07,59.87,66.08,75.49,74.42,74.69,74.75
21019,33.44,41.23,40.86,39.82,41.33,44.00,42.10,46.78,49.40,47.05,43.77,33.67
22001,27.11,28.61,23.09,18.04,19.24,16.22,15.68,17.74,14.77,12.87,12.65,11.65
22002,31.32,27.08,27.34,27.56,22.23,20.50,20.52,28.93,16.92,10.85,4.98,2.03
22003,25.44,25.11,24.25,26.05,24.28,18.67,18.79,25.36,20.24,19.10,15.35,11.73
22004,24.90,27.38,25.06,22.28,17.08,12.61,8.67,10.75,9.46,10.53,8.36,8.08
22005,38.31,39.05,38.45,36.19,29.23,27.90,31.49,46.12,43.29,39.41,37.13,36.03
22006,27.17,17.26,16.14,18.71,15.04,9.56,4.63,14.98,7.58,4.81,2.74,4.73
22007,19.62,15.05,19.27,17.16,20.63,25.48,25.29,45.23,53.54,51.15,50.94,36.34
22008,11.24,14.50,13.11,9.89,13.33,7.58,2.20,15.96,12.18,7.48,0.62,0.00
22009,13.62,13.06,12.31,13.24,13.16,11.53,7.54,15.94,15.36,14.51,12.50,10.64
22010,9.50,7.56,7.55,3.85,0.00,0.00,0.63,10.47,7.61,7.29,7.29,4.99
22011,18.64,9.27,8.28,9.19,9.02,5.89,6.34,6.33,1.95,3.73,3.89,3.19
23001,8.76,8.51,9.80,12.57,12.52,9.01,16.00,21.09,22.81,18.70,22.07,21.03
23002,16.71,23.72,21.85,21.18,22.90,27.19,24.47,24.81,27.12,25.38,25.84,28.43
23003,17.68,19.56,17.41,18.35,19.30,14.64,15.78,21.54,26.81,28.42,32.25,35.21
23004,13.48,3.75,2.23,0.75,3.49,1.73,2.19,6.07,6.53,5.30,6.96,11.68
23005,3.01,14.35,20.65,27.99,25.76,27.60,30.91,32.21,41.69,47.01,47.10,36.99
23006,29.13,32.00,32.75,32.29,31.53,31.99,50.77,73.95,73.71,73.85,76.48,69.35
23007,13.87,20.79,15.77,17.92,17.46,18.19,18.12,20.88,26.21,32.60,34.66,38.97
23008,10.64,10.37,14.79,16.44,16.22,15.25,14.13,15.10,19.61,16.19,16.11,16.82
23009,36.60,39.12,42.73,44.16,44.30,42.00,43.35,54.02,70.18,59.33,60.47,56.23
23010,8.45,8.46,8.52,16.48,18.70,13.27,20.70,30.34,29.03,29.08,26.62,18.94
23011,17.15,18.18,29.84,40.34,38.49,37.65,36.40,42.00,44.77,39.05,43.27,37.61
23012,19.32,14.32,23.18,24.99,19.22,31.21,28.11,52.99,62.30,67.51,54.12,46.27
23013,4.24,6.42,8.35,12.76,15.10,22.28,28.14,58.12,59.21,62.95,56.84,44.95
23014,11.55,11.02,9.46,10.52,17.38,26.88,21.19,51.98,66.81,32.46,39.69,32.16
23015,15.79,13.76,22.73,15.37,18.44,23.66,19.74,40.45,47.61,41.16,43.37,38.70
23016,11.77,6.75,7.33,10.21,7.76,9.04,15.83,25.70,39.78,35.33,24.10,25.43
23017,30.36,26.62,21.06,18.64,20.20,24.52,12.68,24.95,20.84,20.82,23.72,24.51
23018,9.93,11.44,24.19,25.09,26.25,27.83,24.20,35.14,40.97,37.26,35.04,31.50
23019,12.15,12.78,17.16,18.35,16.48,16.40,28.78,31.50,36.41,38.94,30.55,19.97
23020,37.03,36.31,34.82,35.72,37.00,36.56,42.22,48.16,53.96,51.28,49.70,36.72
23021,35.72,33.18,29.31,30.96,31.51,32.71,31.34,33.68,33.29,33.62,36.01,42.74
23022,19.42,16.72,16.53,11.33,10.60,10.88,11.35,16.29,15.78,17.04,20.74,19.62
24001,9.83,6.29,2.93,3.41,3.39,3.26,1.79,1.24,0.97,0.96,1.04,1.04
