CIR,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
21002,0.44,0.45,0.47,0.5,0.53,0.58,0.58,0.62,0.66,0.68,0.69,0.71,0.73,0.76,0.8,0.8
21003,0.38,0.41,0.5,0.53,0.56,0.59,0.61,0.66,0.68,0.71,0.72,0.76,0.76,0.77,0.79,0.79
21004,0.31,0.43,0.53,0.57,0.61,0.61,0.65,0.68,0.71,0.72,0.76,0.78,0.78,0.77,0.84,0.84
21005,0.44,0.47,0.47,0.48,0.53,0.54,0.57,0.6,0.64,0.63,0.66,0.68,0.73,0.74,0.75,0.78
21006,0.36,0.38,0.41,0.44,0.48,0.52,0.57,0.59,0.62,0.64,0.67,0.69,0.7,0.7,0.74,0.75
21007,0.42,0.49,0.52,0.56,0.57,0.53,0.63,0.66,0.69,0.69,0.7,0.71,0.74,0.71,0.76,0.81
21008,0.47,0.48,0.52,0.56,0.61,0.61,0.65,0.68,0.71,0.73,0.77,0.78,0.8,0.8,0.82,0.83
21009,0.4,0.44,0.48,0.51,0.53,0.54,0.59,0.62,0.66,0.65,0.69,0.7,0.72,0.72,0.75,0.76
21010,0.51,0.5,0.57,0.61,0.64,0.66,0.69,0.72,0.73,0.73,0.75,0.77,0.78,0.76,0.77,0.76
21011,0.27,0.29,0.34,0.38,0.42,0.44,0.51,0.53,0.55,0.59,0.64,0.64,0.65,0.64,0.66,0.69
21012,0.47,0.49,0.56,0.61,0.66,0.67,0.69,0.66,0.79,0.8,0.83,0.84,0.85,0.82,0.86,0.85
21013,0.27,0.31,0.37,0.41,0.42,0.43,0.51,0.54,0.6,0.59,0.6,0.65,0.66,0.65,0.74,0.74
21014,0.32,0.37,0.41,0.46,0.49,0.53,0.58,0.64,0.68,0.7,0.73,0.74,0.77,0.75,0.79,0.81
21015,0.46,0.46,0.51,0.53,0.59,0.59,0.66,0.7,0.72,0.77,0.8,0.81,0.84,0.82,0.84,0.86
21016,0.56,0.57,0.56,0.62,0.64,0.65,0.66,0.68,0.67,0.69,0.72,0.7,0.71,0.74,0.74,0.78
21017,0.43,0.45,0.47,0.48,0.47,0.45,0.52,0.59,0.64,0.65,0.68,0.7,0.75,0.73,0.75,0.76
21018,0.34,0.33,0.41,0.45,0.47,0.5,0.56,0.6,0.63,0.64,0.7,0.71,0.71,0.7,0.75,0.76
21019,0.32,0.35,0.42,0.46,0.47,0.49,0.56,0.64,0.66,0.66,0.68,0.73,0.77,0.74,0.78,0.8
22001,0.49,0.5,0.54,0.58,0.63,0.64,0.68,0.72,0.74,0.75,0.8,0.82,0.83,0.83,0.84,0.87
22002,0.45,0.4,0.48,0.53,0.58,0.61,0.66,0.67,0.69,0.72,0.75,0.76,0.8,0.79,0.82,0.83
22003,0.49,0.47,0.53,0.58,0.6,0.62,0.67,0.7,0.72,0.73,0.77,0.79,0.81,0.82,0.84,0.85
22004,0.54,0.59,0.65,0.7,0.72,0.75,0.75,0.77,0.78,0.8,0.8,0.81,0.82,0.82,0.82,0.83
22005,0.46,0.5,0.57,0.64,0.65,0.64,0.65,0.68,0.71,0.72,0.73,0.74,0.76,0.75,0.78,0.79
22006,0.49,0.46,0.55,0.6,0.64,0.65,0.71,0.75,0.76,0.81,0.83,0.85,0.86,0.88,0.89,0.89
22007,0.25,0.44,0.47,0.53,0.53,0.51,0.57,0.6,0.6,0.66,0.68,0.68,0.73,0.77,0.8,0.84
22008,0.46,0.48,0.52,0.56,0.58,0.64,0.63,0.68,0.68,0.67,0.76,0.76,0.78,0.82,0.85,0.87
22009,0.52,0.57,0.63,0.66,0.71,0.73,0.75,0.77,0.8,0.81,0.83,0.84,0.84,0.86,0.88,0.88
22010,0.57,0.58,0.63,0.66,0.71,0.73,0.75,0.76,0.8,0.78,0.79,0.82,0.83,0.87,0.89,0.91
22011,0.44,0.5,0.58,0.63,0.68,0.72,0.75,0.78,0.79,0.81,0.81,0.83,0.84,0.84,0.84,0.82
23001,0.5,0.54,0.57,0.6,0.63,0.65,0.69,0.71,0.7,0.72,0.72,0.72,0.75,0.77,0.78,0.79
23002,0.56,0.58,0.65,0.7,0.74,0.75,0.76,0.78,0.8,0.79,0.81,0.83,0.84,0.84,0.84,0.84
23003,0.6,0.63,0.66,0.71,0.74,0.76,0.76,0.78,0.79,0.79,0.82,0.82,0.83,0.82,0.85,0.86
23004,0.66,0.63,0.65,0.65,0.7,0.75,0.75,0.78,0.82,0.85,0.87,0.9,0.89,0.88,0.9,0.92
23005,0.53,0.51,0.55,0.57,0.64,0.68,0.74,0.73,0.76,0.73,0.77,0.78,0.8,0.81,0.83,0.86
23006,0.48,0.55,0.59,0.63,0.64,0.66,0.72,0.74,0.76,0.79,0.8,0.77,0.79,0.78,0.8,0.81
23007,0.68,0.7,0.75,0.79,0.81,0.82,0.82,0.83,0.86,0.86,0.89,0.89,0.89,0.88,0.91,0.87
23008,0.64,0.67,0.71,0.76,0.76,0.76,0.79,0.81,0.83,0.85,0.87,0.88,0.88,0.88,0.89,0.89
23009,0.67,0.72,0.77,0.78,0.78,0.78,0.79,0.82,0.84,0.85,0.87,0.88,0.89,0.88,0.87,0.89
23010,0.67,0.75,0.76,0.8,0.82,0.82,0.85,0.86,0.9,0.89,0.91,0.9,0.91,0.91,0.91,0.91
23011,0.62,0.65,0.7,0.74,0.77,0.79,0.82,0.84,0.86,0.87,0.89,0.9,0.91,0.89,0.9,0.91
