CIR
11001
11002
11003
11004
11006
12001
12002
12003
13001
13002
13003
13005
13006
13008
13009
14001
15001
15002
15003
15004
15006
15008
15009
15010
15011
15012
15014
16001
17001
17002
17003
17004
17005
17006
17007
21002
21003
21004
21005
21006
21007
21008
21011
21014
21016
21017
22001
22002
22004
22005
22006
22009
22011
23001
23004
23006
23007
23008
23009
23011
23013
23014
23015
23018
23019
23020
23021
23022
24002
24003
24004
24005
24006
24007
24008
25001
25003
25004
25006
25009
25016
26001
26002
26003
26004
26008
26009
26010
26011
26012
27001
27005
27006
27007
27008
28001
28002
28003
28004
28005
28006
28007
29001
29002
29003
29004
29005
29006
29007
29009
29010
29011
29012
29013
29014
29015
29016
29017
29018
29019
29020
29021
29022
29023
29024
29025
29026
29027
29028
31003
31005
31006
31007
31008
31009
31010
31011
31013
31014
31015
31017
31019
31020
31021
31024
31027
31028
31029
31031
31033
31035
31037
31038
31039
31041
31044
31045
31047
31049
31050
31051
31052
31054
31055
31056
31057
31059
31061
31063
31065
31067
31068
31069
31071
31072
31073
31074
31075
31076
31077
32001
32002
32003
32004
33001
33002
33003
33004
33005
33006
33007
33008
33009
35011
35012
35013
35014
35015
35016
35021
35022
35023
35031
35033
35034
35041
35051
35062
35063
35064
35065
35071
35072
35073
35081
35092
35093
35094
35101
35102
35103
35104
35112
35115
35121
35131
35132
35141
35151
35153
35155
35157
35161
35162
35163
35171
35172
35173
35174
41001
41002
41003
41004
41005
41006
41007
41008
41009
41010
41011
41012
41013
41015
41016
41017
41018
41019
41020
41021
41022
42001
42002
42003
42004
42005
42006
42007
42008
42009
42010
42011
42012
42013
42015
42016
43001
43003
43004
43005
43006
43007
43008
43009
43010
43011
43013
43014
43015
43016
43017
43018
43020
43021
43022
43023
43025
43026
43027
43028
43029
43030
50001
50002
50003
50004
51001
51002
51007
51008
51010
51011
51013
51014
51015
52001
52002
52003
52005
52008
52011
52012
52014
52015
52017
52018
53001
